From/To,01-motivation,02-business,03-security,04-application,05-technology,06-api,07-data-model,11-apm,Total
01-motivation,0,0,0,0,0,0,0,0,0
02-business,3,1,2,4,0,0,1,0,11
03-security,0,0,0,0,0,0,0,0,0
04-application,4,1,1,0,0,0,1,3,10
05-technology,4,0,4,0,0,0,0,4,12
06-api,4,3,4,1,0,0,2,4,18
07-data-model,0,1,0,1,0,0,3,0,5
11-apm,0,0,0,0,0,0,0,0,0
Total,15,6,11,6,0,0,7,11,56
